,start time,path,location,size,end time,blur
0,0,no image,"(0, 0)","(0, 0)",144746,0.0
1,144746,avatar-baa4d262280c345de836632889a4eb02_1.04046108100877.jpg,"(1400, 1000)","(1024, 1024)",148955,1.04046108100877
2,148955,avatar-24fc25dcf45fc86d27f0b8683f7ecc57_7.452016681040741.jpg,"(1400, 1000)","(1024, 1024)",153111,7.452016681040741
3,153111,avatar-25493e650d49ed3158c0d72e59afe06a_19.911527272178624.jpg,"(1400, 1000)","(1024, 1024)",157278,19.911527272178624
4,157278,avatar-64deef9c8e5c58e447d3b0c9cd7dc4bf_7.126942120989268.jpg,"(1400, 1000)","(1024, 1024)",161428,7.126942120989268
5,161428,avatar-cb7b8a0841b0f8da03b182745bc10eaf_10.493160840299078.jpg,"(1400, 1000)","(1024, 1024)",165578,10.493160840299078
6,165578,avatar-81235e9e3c3122772ba3b4b16a26e6e5_8.354943305210954.jpg,"(1400, 1000)","(1024, 1024)",171263,8.354943305210954
7,171263,avatar-25493e650d49ed3158c0d72e59afe06a.jpg,"(1400, 1000)","(1024, 1024)",172645,0.0
8,172645,avatar-e938c7442240fb8947be8a889d16fd42.jpg,"(1400, 1000)","(1024, 1024)",173394,0.0
9,173394,avatar-cb7b8a0841b0f8da03b182745bc10eaf.jpg,"(1400, 1000)","(1024, 1024)",174362,0.0
10,174362,avatar-81235e9e3c3122772ba3b4b16a26e6e5.jpg,"(1400, 1000)","(1024, 1024)",175295,0.0
11,175295,avatar-f5e3cccb8b2625395a6a98fd4f020f9a.jpg,"(1400, 1000)","(1024, 1024)",176195,0.0
12,176195,avatar-d9b4a131d17e03bb11080fabab83d003.jpg,"(1400, 1000)","(1024, 1024)",178079,0.0
13,178079,avatar-968c92d967b8fb8b1592c2019b39a67b_4.067273220784866.jpg,"(1400, 1000)","(1024, 1024)",182228,4.067273220784866
14,182228,avatar-d3bcc15eb87480b4a19f9b622c743530_6.13662093681725.jpg,"(1400, 1000)","(1024, 1024)",186378,6.13662093681725
15,186378,avatar-4d14ed765580577d63cd15bb561d47f8_2.902218381389363.jpg,"(1400, 1000)","(1024, 1024)",190528,2.902218381389363
